開催場,トラックマン,券種,購入金額,払戻金,収支,回収率(%)
阪神,TM5,ワイド,400800,250190,-150610,62.4
阪神,TM5,単勝,74400,70620,-3780,94.9
阪神,TM5,複勝,74400,64970,-9430,87.3
阪神,TM5,馬単,400800,395130,-5670,98.6
阪神,TM5,馬連,400800,239990,-160810,59.9
阪神,TM6,ワイド,358800,222930,-135870,62.1
阪神,TM6,単勝,74400,97510,23110,131.1
阪神,TM6,複勝,74400,69900,-4500,94.0
阪神,TM6,馬単,358800,383580,24780,106.9
阪神,TM6,馬連,358800,215500,-143300,60.1
